Value,Disaggregation combinations using this value,Number of indicators
Saint-Mathieu-d'Harricana,1,1
Saint-Mathieu-du-Parc,1,1
Saint-Mathieu,1,1
Saint-Maxime-du-Mont-Louis,1,1
Saint-Michel-de-Bellechasse,1,1
Saint-Michel-des-Saints,1,1
Saint-Michel-du-Squatec,1,1
Saint-Michel,1,1
Saint-Modeste,1,1
Saint-Nazaire,1,1
Saint-Norbert-d'Arthabaska,1,1
Saint-Nérée-de-Bellechasse,1,1
Saint-Omer,1,1
Saint-Onésime-d'Ixworth,1,1
Saint-Pacôme,1,1
Saint-Patrice-de-Beaurivage,1,1
Saint-Patrice-de-Sherrington,1,1
Saint-Paul-d'Abbotsford,1,1
Saint-Paul-de-l'Île-aux-Noix,1,1
Saint-Paul-de-Montminy,1,1
Saint-Paul,1,1
Saint-Paulin,1,1
Saint-Philibert,1,1
Saint-Pierre-de-Broughton,1,1
Saint-Pierre-de-l'Île-d'Orléans,1,1
Saint-Pierre-les-Becquets,1,1
Saint-Placide,1,1
Saint-Polycarpe,1,1
Saint-Prime,1,1
Saint-Prosper-de-Champlain,1,1
Saint-Prosper,1,1
Saint-Raphaël,1,1
Saint-René-de-Matane,1,1
Saint-Robert-Bellarmin,1,1
Saint-Robert,1,1
Saint-Roch-de-l'Achigan,1,1
Saint-Roch-de-Richelieu,1,1
Saint-Roch-des-Aulnaies,1,1
Saint-Roch-Ouest,1,1
Saint-Romain,1,1
Saint-Rémi-de-Tingwick,1,1
Saint-Samuel,1,1
Saint-Simon-de-Rimouski,1,1
Saint-Simon-les-Mines,1,1
Saint-Simon,1,1
Saint-Siméon,1,1
Saint-Sixte,1,1
Saint-Stanislas-de-Kostka,1,1
Saint-Stanislas,2,1
Saint-Sylvestre,1,1
Saint-Sylvère,1,1
Saint-Sébastien,2,1
Saint-Thomas-Didyme,1,1
Saint-Thomas,1,1
Saint-Théodore-d'Acton,1,1
Saint-Théophile,1,1
Saint-Tite-des-Caps,1,1
Saint-Télesphore,1,1
Saint-Ubalde,1,1
Saint-Ulric,1,1
Saint-Urbain-Premier,1,1
Saint-Valentin,1,1
Saint-Vallier,1,1
Saint-Valère,1,1
Saint-Valérien-de-Milton,1,1
Saint-Vianney,1,1
Saint-Victor,1,1
Saint-Wenceslas,1,1
Saint-Zacharie,1,1
Saint-Zotique,1,1
Saint-Zénon,1,1
Saint-Édouard-de-Maskinongé,1,1
Saint-Édouard,1,1
Saint-Élie-de-Caxton,1,1
Saint-Émile-de-Suffolk,1,1
Saint-Éphrem-de-Beauce,1,1
Saint-Épiphane,1,1
Saint-Étienne-de-Beauharnois,1,1
Saint-Étienne-de-Bolton,1,1
Saint-Évariste-de-Forsyth,1,1
Sainte-Agathe-de-Lotbinière,1,1
Sainte-Angèle-de-Monnoir,1,1
Sainte-Angèle-de-Mérici,1,1
Sainte-Angèle-de-Prémont,1,1
Sainte-Anne-de-la-Pérade,1,1
Sainte-Anne-de-la-Rochelle,1,1
Sainte-Anne-de-Sorel,1,1
Sainte-Anne-du-Lac,1,1
Sainte-Aurélie,1,1
Sainte-Barbe,1,1
Sainte-Brigide-d'Iberville,1,1
Sainte-Béatrix,1,1
Sainte-Catherine-de-Hatley,1,1
Sainte-Christine-d'Auvergne,1,1
Sainte-Claire,1,1
Sainte-Clotilde-de-Beauce,1,1
Sainte-Clotilde-de-Horton,1,1
Sainte-Clotilde,1,1
Sainte-Croix,1,1
Sainte-Cécile-de-Milton,1,1
Sainte-Cécile-de-Whitton,1,1
Sainte-Eulalie,1,1
Sainte-Euphémie-sur-Rivière-du-Sud,1,1
Sainte-Famille-de-l'Île-d'Orléans,1,1
Sainte-Florence,1,1
Sainte-Françoise,1,1
Sainte-Félicité,2,1
Sainte-Geneviève-de-Berthier,1,1
Sainte-Germaine-Boulé,1,1
Sainte-Gertrude-Manneville,1,1
Sainte-Hedwidge,1,1
Sainte-Hélène-de-Bagot,1,1
Sainte-Hélène-de-Chester,1,1
Sainte-Hélène-de-Kamouraska,1,1
Sainte-Julienne,1,1
Sainte-Justine-de-Newton,1,1
Sainte-Justine,1,1
Sainte-Luce,1,1
Sainte-Lucie-de-Beauregard,1,1
Sainte-Lucie-des-Laurentides,1,1
Sainte-Madeleine-de-la-Rivière-Madeleine,1,1
Sainte-Marcelline-de-Kildare,1,1
Sainte-Marie-de-Blandford,1,1
Sainte-Marie-Salomé,1,1
Sainte-Marthe,1,1
Sainte-Martine,1,1
Sainte-Monique,2,1
Sainte-Mélanie,1,1
Sainte-Perpétue,1,1
Sainte-Rita,1,1
Sainte-Rose-de-Watford,1,1
Sainte-Sabine,1,1
Sainte-Sophie-d'Halifax,1,1
Sainte-Sophie,1,1
Sainte-Thècle,1,1
Sainte-Thérèse-de-Gaspé,1,1
Sainte-Thérèse-de-la-Gatineau,1,1
Sainte-Ursule,1,1
Sainte-Victoire-de-Sorel,1,1
Sainte-Élisabeth,1,1
Sainte-Élizabeth-de-Warwick,1,1
Sainte-Émélie-de-l'Énergie,1,1
Sayabec,1,1
Scott,1,1
Shawville,1,1
Shigawake,1,1
Stanbridge East,1,1
Stanbridge Station,1,1
Stanstead-Est,1,1
Stoke,1,1
Stornoway,1,1
Taschereau,1,1
Terrasse-Vaudreuil,1,1
Thorne,1,1
Tingwick,1,1
Tourville,1,1
Trois-Rives,1,1
Très-Saint-Rédempteur,1,1
Ulverton,1,1
Upton,1,1
Val-Alain,1,1
Val-Brillant,1,1
Val-des-Bois,1,1
Val-des-Lacs,1,1
Val-des-Monts,1,1
Val-Joli,1,1
